ID,Length
111-1907-4981,0.001275
111-1122-3363,0.000319
111-1936-3290,0.000319
AP010722,0.000957
KF146244,0.000438
JQ245724,0.000438
DQ112955,0.000706
JQ701924,0.000942
DQ301794,0.001300
EU439939,0.000774
JQ704754,0.000774
JX508853,0.000774
MN595741,0.001580
AY519496,0.000573
JQ705676,0.000573
JX413039,0.000573
HM036567,0.000415
FJ383631,0.000415
EU482313,0.000449
DQ282447,0.000573
MF055751,0.001127
FJ383542,0.001194
111-1903-2646,0.000101
AP008909,0.000101
111-1936-0787,0.000781
111-1926-1381,0.000781
DQ112875,0.001100
EF060333,0.001100
111-1923-7416,0.000655
HQ012262,0.000502
111-1937-0434,0.000502
AP008287,0.000380
AP013251,0.000241
111-1907-1393,0.000241
FJ383234,0.000655
111-1914-6930,0.000655
FJ168712,0.000655
AP008628,0.000655
111-1921-0792,0.000896
EU443506,0.001194
111-1929-8585,0.001194
PP654541,0.001105
DQ372879,0.000459
KJ154481,0.000459
111-1908-9107,0.000573
FJ383311,0.000573
AP013148,0.001114
111-1906-2575,0.000156
111-1917-2649,0.000156
111-1922-8506,0.000156
111-1920-7815,0.000235
111-1922-3495,0.000896
KC346074,0.000478
KC345900,0.000364
KC345781,0.000364
EU092852,0.000173
EU092737,0.000173
EU273490,0.001248
DQ304933,0.000796
JQ412577,0.000735
EU092671,0.000735
JX303838,0.000735
EU092813,0.001262
EF184627,0.001651
HM771135,0.001426
KM986620,0.001426
KM986577,0.001679
JN214459,0.000687
EU092830,0.000687
AY950286,0.000864
DQ372869,0.000864
KC994058,0.001305
JQ703852,0.000301
EU095215,0.000301
HG01866,0.000680
DQ372871,0.000407
JX900769,0.000173
KJ154487,0.000173
MF055755,0.000227
JX900738,0.000227
HQ873543,0.000407
AP008595,0.000682
AY519492,0.000682
KC521454,0.000081
AP008482,0.000081
KC994085,0.000423
111-1910-8495,0.000960
KX456435,0.000640
111-1919-0674,0.000640
KF849909,0.000960
111-1945-6527,0.000960
EU073971,0.000250
ERM088,0.000250
JQ701848,0.000290
JQ704847,0.000290
EF418606,0.000330
KF148401,0.000206
JQ702985,0.000206
JQ702960,0.000402
KU683215,0.000402
AY339422,0.000159
JQ702335,0.000159
JQ701969,0.000159
JQ704370,0.000159
JQ705362,0.000159
JQ705712,0.000159
JX153389,0.000159
JX153093,0.000163
JX297199,0.000031
JX153958,0.000031
JX153041,0.000118
EF556184,0.000163
JQ898578,0.000177
JQ703312,0.000177
JQ702057,0.000177
JQ704562,0.000206
AY495174,0.000216
EU677750,0.000082
GQ983082,0.000082
JQ703547,0.000216
KC257389,0.000402
JX153784,0.000402
HM852833,0.000343
JQ702256,0.000343
JQ324574,0.000106
JQ703140,0.000106
JQ705041,0.000140
JQ324534,0.000343
JQ703386,0.000402
JQ704313,0.000402
EU007878,0.000103
JQ704644,0.000103
JQ703113,0.000244
GU122990,0.000197
AY339451,0.000197
AY713976,0.000416
JQ703367,0.000416
JQ706038,0.000405
JQ706039,0.000405
HGDP01361,0.000405
KC911309,0.000405
JQ705957,0.000405
MF523173,0.000102
JQ702168,0.000102
JN409346,0.000666
DQ301815,0.000666
FJ348194,0.001107
111-1937-6535,0.000385
JQ702549,0.000328
EU545423,0.000328
FJ147313,0.000328
KC152549,0.000436
KC152585,0.000436
EF064334,0.000436
AY275528,0.000780
HM775494,0.000923
JQ705601,0.000434
KC911365,0.000434
JQ704045,0.000155
JQ705245,0.000155
KC569552,0.000444
GU296626,0.000431
JQ704044,0.000341
GU296587,0.000341
JX152982,0.000495
JX153147,0.000383
JQ705947,0.000383
GQ129143,0.000495
HM852858,0.001168
EF556170,0.000734
HM185224,0.000734
AY714033,0.000471
JQ797777,0.000396
HM852835,0.000396
FJ348153,0.000113
JQ797836,0.000113
JQ704432,0.000079
JQ705996,0.000079
JQ705054,0.000079
HGDP01396,0.000233
JQ704751,0.000347
KY409278,0.000347
MF523006,0.000623
JQ797920,0.000074
HGDP00623,0.000074
JQ797933,0.000356
FJ445409,0.000453
FJ213765,0.000453
JF944823,0.000416
JQ702795,0.000416
AY495287,0.000416
JX153995,0.000416
AY714029,0.000289
JQ798110,0.000289
JQ798108,0.000416
111-1926-6935,0.002061
GQ119016,0.002061
